name,symbol,current_price,market_cap
Bitcoin,btc,70888.0,1417434820823
Ethereum,eth,2072.59,250167812200
Tether,usdt,1.0,183938508865
BNB,bnb,646.74,88166976984
XRP,xrp,1.41,86499100598
USDC,usdc,0.999995,78417132396
Solana,sol,88.02,50234807346
TRON,trx,0.284596,26965556427
Figure Heloc,figr_heloc,1.04,16354203305
Dogecoin,doge,0.098235,15064191448
WhiteBIT Coin,wbt,56.14,11989649977
USDS,usds,0.999936,11145195760
Cardano,ada,0.26904,9905895473
Bitcoin Cash,bch,449.88,8998454872
LEO Token,leo,9.18,8456742914
Hyperliquid,hype,34.24,8163614039
Chainlink,link,9.11,6449659505
Monero,xmr,349.35,6433668825
Ethena USDe,usde,0.999328,5920990389
Canton,cc,0.148953,5660713535
Stellar,xlm,0.163055,5379380168
USD1,usd1,0.999459,4606933554
Dai,dai,0.999703,4274329711
Avalanche,avax,9.86,4258086639
Rain,rain,0.00890138,4254177425
Hedera,hbar,0.097509,4223576899
Litecoin,ltc,54.64,4204123002
PayPal USD,pyusd,0.999743,4067009247
Sui,sui,0.981687,3830730830
Zcash,zec,224.83,3730782846
Shiba Inu,shib,5.93e-06,3496468774
Toncoin,ton,1.33,3266940699
Cronos,cro,0.076278,3134574045
Tether Gold,xaut,5188.25,2930050874
World Liberty Financial,wlfi,0.103186,2853757365
PAX Gold,paxg,5230.5,2615138310
MemeCore,m,1.46,2554244324
Polkadot,dot,1.52,2545047548
Uniswap,uni,3.9,2469683095
Mantle,mnt,0.698052,2288445149
Pi Network,pi,0.225122,2176095943
OKB,okb,97.29,2042658071
Circle USYC,usyc,1.12,2034680555
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2007393832
Bittensor,tao,205.24,1969865943
Sky,sky,0.080763,1860784211
Aster,aster,0.709814,1743435891
Falcon USD,usdf,0.997395,1736575791
Aave,aave,113.77,1727629830
Global Dollar,usdg,1.0,1702669419
NEAR Protocol,near,1.3,1682540326
Ripple USD,rlusd,0.999686,1585730906
Bitget Token,bgb,2.17,1522300570
HTX DAO,htx,1.58e-06,1451794255
Pepe,pepe,3.42e-06,1437193051
Internet Computer,icp,2.49,1368758584
BFUSD,bfusd,0.999203,1318947539
Ethereum Classic,etc,8.43,1314099537
Ondo US Dollar Yield,usdy,1.089,1274037518
Ondo,ondo,0.260235,1269672953
Pump.fun,pump,0.00207455,1223967808
Gate,gt,7.08,1133103428
Morpho,morpho,1.98,1086190895
KuCoin,kcs,8.17,1079199591
Worldcoin,wld,0.369899,1077531344
Superstate Short Duration U.S. Government Securities Fund (USTB),ustb,11.01,1069466111
POL (ex-MATIC),pol,0.098057,1039740419
Spiko EU T-Bills Money Market Fund,eutbl,1.22,946848457
Quant,qnt,63.08,917685901
Midnight,night,0.055071,914718538
NEXO,nexo,0.912018,911191625
Cosmos Hub,atom,1.83,909346593
Ethena,ena,0.105576,896693336
USDtb,usdtb,0.998592,834284137
Kaspa,kas,0.03037719,813851013
Render,render,1.53,797478619
Flare,flr,0.00917394,780697829
Algorand,algo,0.08751,778061858
Aptos,apt,0.981779,767060573
Provenance Blockchain,hash,0.01356261,753044947
OUSG,ousg,114.54,748891556
Janus Henderson Anemoy AAA CLO Fund,jaaa,1.026,744809007
USDD,usdd,1.0,740093135
Filecoin,fil,0.925828,704120008
Official Trump,trump,2.92,678456646
XDC Network,xdc,0.03231417,644151056
VeChain,vet,0.00720956,620169856
Beldex,bdx,0.080001,608442839
Jupiter,jup,0.172896,605012538
Arbitrum,arb,0.100592,597498261
YLDS,ylds,0.999906,597054093
​​Stable,stable,0.02869433,594933936
GHO,gho,0.999522,573939777
Janus Henderson Anemoy Treasury Fund,jtrsy,1.097,568493799
Usual USD,usd0,0.996364,561579743
Bonk,bonk,6.1e-06,536673042
Decred,dcr,29.84,516717801
Kite,kite,0.284985,513043572
TrueUSD,tusd,0.999991,494470593
A7A5,a7a5,0.01253123,491155243
